  Order ID  ,Customer Name,Order Date,Sale Amount ($),QTY,City,Payment Method,Delivered?,Discount %,Rating,Sales Rep
OID4112,Youssef K.,14/10/2024,560.12,16.0,,Card,no,36.7,,Rep 10
OID8684,,Jun 01 2024,325.02,4.0,Rabat,Cash,Y,22.2,,Rep 02
OID5197,Lina M.,27/10/2024,507.0,16.0,Riyadh,COD,N,17.9,3.0,Rep 08
OID3148,Omar R.,Sep 28 2024,721.94,9.0,,Wallet,YES,18.1,2.0,Rep 26
OID4812,Amine B.,2024-07-07,200.9,5.0,Dubai,COD,no,37.6,,Rep 06
OID3259,Youssef K.,23/04/2024,196.99,8.0,,Cash,N,41.1,5.0,Rep 16
OID4722,Omar R.,2024/06/26,616.19,6.0,,Wallet,yes,11.1,2.0,Rep 16
OID1971,Sara L.,Sep 22 2024,285.92,7.0,Riyadh,Wallet,No,38.6,1.0,Rep 06
OID8140,Amine B.,03/02/2025,336.94,9.0,,Card,no,26.5,1.0,Rep 20
OID3379,Omar R.,2024-03-24,,10.0,Cairo,Card,YES,16.5,3.0,Rep 19
OID1347,Amine B.,Dec 20 2024,609.19,,Riyadh,Cash,Y,6.5,,Rep 11
OID1999,Youssef K.,2024-04-07,411.33,15.0,Marrakech,Wallet,0,34.9,,Rep 23
OID2841,,2024/04/09,,7.0,,Card,Y,19.2,1.0,Rep 25
OID8560,Youssef K.,Oct 30 2024,1360.51,,Cairo,Card,yes,,5.0,Rep 23
OID8626,Amine B.,Oct 07 2024,545.83,7.0,Cairo,Card,Y,17.6,1.0,Rep 03
OID4461,,Dec 12 2024,584.41,12.0,,COD,No,7.7,2.0,Rep 14
OID6514,Sara L.,Nov 08 2024,482.8,4.0,Riyadh,Cash,N,13.6,,Rep 27
OID2981,Youssef K.,2024/10/31,1251.78,13.0,Riyadh,Card,No,7.9,,Rep 11
OID4053,Youssef K.,11/01/2024,,13.0,Casablanca,Cash,Y,32.0,3.0,Rep 05
OID4431,,25/11/2024,1206.52,,Riyadh,Card,yes,34.4,3.0,Rep 06
OID7579,Omar R.,09/06/2024,,3.0,Dubai,COD,YES,38.1,1.0,Rep 01
OID1952,,2024/10/09,586.37,7.0,Marrakech,Cash,0,16.6,1.0,Rep 13
OID1831,,24/08/2024,564.75,17.0,Casablanca,Wallet,no,2.5,,Rep 17
OID5544,Youssef K.,2024/09/08,343.74,4.0,Rabat,COD,true,,2.0,Rep 23
OID4196,Sara L.,2024/05/18,,16.0,,COD,yes,6.6,4.0,Rep 22
OID3174,Lina M.,17/02/2024,,,,COD,N,36.0,,Rep 26
OID3174,Lina M.,17/02/2024,,,,COD,N,36.0,,Rep 26
OID7740,Youssef K.,2024-03-08,,2.0,Dubai,Wallet,Y,19.4,,Rep 09
OID3405,Amine B.,Aug 05 2024,1517.79,11.0,,Cash,yes,27.3,2.0,Rep 18
OID1243,Omar R.,14/06/2024,215.59,2.0,Marrakech,Card,YES,19.9,1.0,Rep 13
OID3972,Amine B.,Jan 30 2025,659.92,8.0,,Wallet,No,35.2,3.0,Rep 13
OID9095,Sara L.,2025-01-07,2012.72,17.0,,COD,N,,5.0,Rep 17
OID2527,Lina M.,N/A,874.88,7.0,,COD,Yes,4.2,4.0,Rep 26
OID3908,,2024/11/26,705.02,12.0,Casablanca,Card,1,14.3,5.0,Rep 09
OID7672,Sara L.,Jan 30 2024,352.83,8.0,Dubai,Wallet,no,15.7,5.0,Rep 17
OID1878,Omar R.,2024-11-07,131.63,3.0,,COD,true,2.8,,Rep 07
OID5617,Sara L.,03/06/2024,,16.0,Dubai,Cash,Y,38.2,1.0,Rep 16
OID9922,Sara L.,2024/12/25,452.72,4.0,,Card,Y,23.0,2.0,Rep 27
OID5152,Youssef K.,Aug 08 2024,,,Dubai,Wallet,Y,37.1,4.0,Rep 15
OID3456,Amine B.,2024-10-21,45.0,1.0,Marrakech,Card,true,11.2,,Rep 19
OID8766,,Oct 20 2024,1456.51,,Cairo,Card,Yes,40.1,2.0,Rep 05
OID4287,,Jun 20 2024,,11.0,Dubai,Cash,no,36.0,,Rep 17
OID7918,Sara L.,2024/03/11,825.53,9.0,,Cash,YES,44.1,,Rep 26
OID3985,Amine B.,N/A,629.22,9.0,Riyadh,Cash,N,23.4,,Rep 08
OID1424,Youssef K.,11/01/2024,1418.28,11.0,Riyadh,COD,yes,1.2,1.0,Rep 08
OID9492,Omar R.,Mar 03 2024,375.5,,Cairo,Card,0,35.1,1.0,Rep 01
OID4399,,14/10/2024,59.83,2.0,,Cash,Y,13.4,,Rep 12
OID6374,Youssef K.,2024-06-26,2271.55,17.0,Marrakech,COD,0,38.2,4.0,Rep 15
OID9031,Sara L.,Feb 08 2024,,10.0,Rabat,Cash,Yes,3.8,5.0,Rep 07
OID1217,Lina M.,2024/03/15,1749.93,13.0,,Card,N,28.0,2.0,Rep 26
OID1847,,May 20 2024,96.89,1.0,Casablanca,Cash,No,38.8,,Rep 11
OID6834,,2024-02-01,573.62,12.0,Casablanca,Wallet,true,22.5,3.0,Rep 21
OID1136,Sara L.,19/01/2025,420.56,9.0,Marrakech,COD,Yes,18.7,2.0,Rep 01
OID9636,Amine B.,2024-08-03,1140.31,17.0,Dubai,COD,N,12.4,2.0,Rep 10
OID6364,Lina M.,2024/08/03,49.34,2.0,,Card,Y,4.5,4.0,Rep 01
OID8784,Sara L.,2024/06/27,409.82,8.0,Rabat,COD,0,27.3,5.0,Rep 26
OID7361,Lina M.,N/A,,16.0,Cairo,Cash,Y,7.7,,Rep 03
OID8524,Sara L.,Oct 22 2024,655.37,5.0,,Card,YES,9.5,1.0,Rep 18
OID5920,Youssef K.,2024-09-14,568.97,5.0,,COD,true,34.2,,Rep 04
OID6072,Youssef K.,2025/02/01,,9.0,Casablanca,Card,No,24.2,3.0,Rep 06
OID7314,Lina M.,Jan 27 2025,67.34,2.0,,Card,YES,16.5,5.0,Rep 25
OID9219,Omar R.,Jan 07 2024,350.41,11.0,Marrakech,Wallet,yes,32.7,,Rep 24
OID5155,Omar R.,2024-10-18,402.14,12.0,Rabat,Card,yes,,5.0,Rep 18
OID9769,Omar R.,2024-04-02,943.35,,,COD,no,,2.0,Rep 01
OID1458,Amine B.,05/10/2024,2311.48,,,Wallet,0,20.2,4.0,Rep 18
OID9207,,2024/03/19,243.46,9.0,Rabat,COD,0,28.9,4.0,Rep 10
OID5467,,01/11/2024,1864.43,15.0,Rabat,COD,0,32.5,1.0,Rep 18
OID4798,Lina M.,2024/04/13,,1.0,,COD,N,14.4,,Rep 22
OID8579,Sara L.,22/12/2024,333.96,6.0,Rabat,COD,YES,9.4,5.0,Rep 21
OID9422,Amine B.,01/04/2024,965.22,8.0,Cairo,Cash,0,16.3,,Rep 27
OID9492,Omar R.,Mar 03 2024,375.5,,Cairo,Card,0,35.1,1.0,Rep 01
OID5014,Omar R.,2024/07/28,1813.5,14.0,Casablanca,Cash,1,,3.0,Rep 11
OID5331,,Nov 26 2024,,2.0,Dubai,Wallet,N,,,Rep 04
OID4554,Omar R.,2024-06-29,,17.0,,Card,yes,15.5,,Rep 15
OID9303,Amine B.,Feb 15 2024,102.13,1.0,Riyadh,Cash,Yes,30.8,3.0,Rep 04
OID1528,Sara L.,2025-01-02,794.77,6.0,Cairo,COD,Y,0.3,,Rep 07
OID2529,Sara L.,2024-10-25,1179.51,11.0,Rabat,Cash,0,18.7,1.0,Rep 20
OID7693,Amine B.,Apr 25 2024,1293.8,17.0,Casablanca,Cash,yes,42.6,1.0,Rep 24
OID6899,,Sep 22 2024,388.23,5.0,,Card,YES,30.1,,Rep 12
OID7599,Sara L.,Jun 30 2024,,12.0,,Card,Y,38.2,5.0,Rep 09
OID2386,Omar R.,2024-12-20,411.36,4.0,,Cash,yes,37.0,,Rep 03
OID2962,Sara L.,2024/09/05,115.85,1.0,Riyadh,Card,N,0.5,4.0,Rep 16
OID9636,Amine B.,2024-08-03,1140.31,17.0,Dubai,COD,N,12.4,2.0,Rep 10
OID4932,Omar R.,N/A,247.75,9.0,,Card,No,,1.0,Rep 23
OID3349,Lina M.,2024/06/30,243.07,6.0,Marrakech,COD,YES,25.1,2.0,Rep 26
OID9640,Omar R.,Jan 15 2025,1259.1,14.0,Rabat,Card,N,43.3,2.0,Rep 24
OID3989,Sara L.,2024/12/07,33.45,1.0,,COD,no,23.8,,Rep 12
OID7736,Lina M.,Aug 14 2024,,,Casablanca,Cash,Yes,21.3,1.0,Rep 04
OID8957,Lina M.,2025-01-26,,14.0,Rabat,COD,0,4.1,3.0,Rep 20
OID2270,,2024-02-13,149.44,5.0,Marrakech,Wallet,YES,28.2,,Rep 16
OID7007,Lina M.,28/11/2024,2049.62,15.0,,Wallet,true,18.9,4.0,Rep 13
OID4983,Amine B.,2024/03/14,654.58,8.0,Riyadh,Card,No,34.0,4.0,Rep 19
OID3885,Youssef K.,Jul 03 2024,677.06,15.0,Riyadh,Card,true,15.2,,Rep 22
OID1635,Sara L.,2024-08-31,442.7,6.0,,Card,0,20.5,3.0,Rep 24
OID9223,,22/02/2024,145.12,3.0,Casablanca,Cash,Yes,2.6,,Rep 10
OID6213,Youssef K.,Jul 02 2024,,3.0,Dubai,COD,no,39.4,5.0,Rep 09
OID2852,Lina M.,Oct 16 2024,294.51,,Cairo,Cash,0,12.8,,Rep 16
OID5608,Sara L.,11/01/2024,490.15,4.0,,Card,true,36.8,,Rep 27
OID7273,Youssef K.,2025-02-03,127.69,1.0,,COD,no,39.1,,Rep 09
OID8741,Sara L.,Jul 08 2024,902.99,7.0,Cairo,Card,1,38.9,5.0,Rep 08
OID3656,Sara L.,2024-11-08,470.14,,Marrakech,Cash,no,0.3,4.0,Rep 02
OID7472,,2024/06/27,1153.91,15.0,Marrakech,Cash,no,25.5,2.0,Rep 07
OID6019,Omar R.,2024-05-01,,,Dubai,Wallet,yes,26.3,,Rep 24
OID3344,Youssef K.,2025/02/02,205.24,3.0,Rabat,Wallet,no,21.3,1.0,Rep 09
OID2133,Amine B.,07/09/2024,,4.0,Dubai,Wallet,Y,35.9,4.0,Rep 19
OID7211,Omar R.,2024/01/27,470.38,12.0,Casablanca,Card,YES,27.2,4.0,Rep 11
OID1424,Youssef K.,11/01/2024,1418.28,11.0,Riyadh,COD,yes,1.2,1.0,Rep 08
OID3159,Youssef K.,2024/09/01,520.29,11.0,Dubai,Wallet,true,37.4,,Rep 27
OID5031,Lina M.,22/02/2024,213.9,4.0,Casablanca,Cash,1,21.4,2.0,Rep 20
OID1747,Lina M.,2025-01-07,102.84,2.0,Riyadh,Wallet,Yes,4.5,3.0,Rep 13
OID7904,Youssef K.,2024-10-05,782.07,,Rabat,Card,yes,41.5,,Rep 27
OID7967,Omar R.,2024/01/26,1375.48,12.0,Cairo,Wallet,0,8.0,4.0,Rep 14
OID7399,,2024/07/27,726.96,15.0,Marrakech,Wallet,1,2.2,2.0,Rep 11
OID9604,Amine B.,31/05/2024,276.02,7.0,,Wallet,yes,21.7,2.0,Rep 23
OID9095,Sara L.,2025-01-07,2012.72,17.0,,COD,N,,5.0,Rep 17
OID3727,Lina M.,2024-02-16,429.71,6.0,Marrakech,Wallet,Yes,25.7,2.0,Rep 16
OID8030,Sara L.,Nov 27 2024,378.39,4.0,Rabat,COD,no,38.8,,Rep 06
